Player,Country,Inns,NO,Runs,HS,BF,SR,100,50,0,4s,6s
Babar Azam,PAK,65,6,3142,158,3601,87.25,9,22,3,312,37
SD Hope,WI,76,12,3106,132,3613,85.96,11,15,2,255,71
V Kohli,IND,63,8,2948,166,3098,95.15,10,21,5,261,45
P Nissanka,SL,74,5,2823,210,3171,89.02,7,17,6,358,32
Shubman Gill,IND,56,8,2802,208,2808,99.78,8,15,1,316,60
BKG Mendis,SL,77,9,2778,143,3053,90.99,5,18,5,291,45
KIC Asalanka,SL,72,10,2659,127,2925,90.9,5,17,5,221,63
RG Sharma,IND,57,5,2572,131,2339,109.96,5,18,3,280,117
SS Iyer,IND,57,6,2441,128,2492,97.95,5,17,1,231,58
DJ Mitchell,NZ,51,7,2338,134,2491,93.85,7,11,0,185,63
KL Rahul,IND,58,14,2329,112,2498,93.23,4,15,1,172,60
Q de Kock,SA,46,2,2216,174,2213,100.13,9,8,2,230,65
Mohammad Rizwan,PAK,63,14,2216,131,2649,83.65,2,16,2,185,31
HG Munsey,SCOT,44,7,2068,191,2193,94.3,3,16,1,206,70
AK Markram,SA,58,8,2065,175,2011,102.68,4,12,5,199,52
MG Erasmus,NAM,57,5,2052,125,2640,77.72,2,16,3,165,48
SA Edwards,NED,61,8,2037,86,2324,87.65,0,20,3,154,18
MD Patel,USA,61,3,2028,130,2431,83.42,3,16,8,163,30
MP O'Dowd,NED,62,3,2008,158,2656,75.6,1,13,3,203,35
HE van der Dussen,SA,51,7,1993,134,2242,88.89,6,10,3,169,34
HT Tector,IRE,49,6,1992,140,2393,83.24,5,14,4,155,46
SPD Smith,AUS,50,8,1990,131,2255,88.24,4,12,3,199,25
PR Stirling,IRE,51,1,1967,162,2237,87.93,6,9,3,201,61
DA Warner,AUS,45,1,1942,163,1905,101.94,5,13,2,213,52
TWM Latham,NZ,62,10,1914,145,2131,89.81,4,11,7,163,27
RK Paudel,NEP,68,5,1914,126,2556,74.88,2,10,5,140,39
Fakhar Zaman,PAK,45,2,1903,193,2089,91.09,7,6,3,204,51
H Klaasen,SA,43,5,1890,174,1538,122.88,4,10,1,174,65
Rahmanullah Gurbaz,AFG,52,1,1888,151,2164,87.24,8,7,3,167,70
T Bavuma,SA,51,5,1874,144,2150,87.16,4,8,2,185,26
M Labuschagne,AUS,58,4,1871,124,2239,83.56,2,12,3,154,10
Ibrahim Zadran,AFG,38,3,1867,177,2260,82.61,6,9,2,178,30
Sikandar Raza,ZIM,51,8,1820,135,1937,93.95,4,10,2,148,46
V Aravind,UAE,60,3,1809,115,2658,68.05,2,9,6,172,14
Litton Das,BAN,61,6,1801,176,2119,84.99,4,9,12,192,33
TM Head,AUS,37,5,1734,154,1430,121.25,6,7,2,213,57
RD Berrington,SCOT,52,11,1718,127,2197,78.19,5,8,4,124,44
Muhammad Waseem,UAE,65,0,1698,119,1932,87.88,1,9,7,141,81
Mahmudullah,BAN,49,11,1695,111,2105,80.52,1,11,2,113,51
Mushfiqur Rahim,BAN,54,8,1695,125,2062,82.2,2,12,2,131,18
WA Young,NZ,52,5,1694,120,1974,85.81,4,10,7,190,27
Najmul Hossain Shanto,BAN,54,3,1685,122,2145,78.55,3,10,7,177,18
Aasif Sheikh,NEP,63,5,1677,110,2195,76.4,1,13,5,197,16
Rahmat Shah,AFG,51,4,1675,103,2295,72.98,1,16,2,142,14
MR Marsh,AUS,46,3,1670,177,1742,95.86,3,9,3,165,66
Jatinder Singh,OMA,55,2,1636,118,2185,74.87,4,9,1,177,25
JC Buttler,ENG,52,6,1620,162,1539,105.26,2,9,3,120,57
DP Conway,NZ,39,3,1615,152,1834,88.05,5,5,2,200,21
KU Carty,WI,43,5,1593,170,2070,76.95,4,5,2,138,26
DA Miller,SA,44,14,1553,101,1393,111.48,2,12,1,115,61
